Open,High,Low,Close,Volume,int_range
92.7,99.7,89.95,93.89,271879435,2
92.7,92.95,89.5,89.89,66657827,7
88.94,90.48,86.62,87.17,39009788,13
88.47,90.57,87.22,90.57,32088108,0
91.09,91.5,88.5,88.92,28597506,5
89.73,90.46,88.66,90.46,18339716,4
89.62,89.7,88.02,88.75,25302002,9
89,90.88,88.46,88.85,24419426,7
88.7,88.94,86.04,86.1,24029603,15
86.27,88.2,85.611,87.06,21469688,13
88.1,89.94,87.65,88.1,18485725,4
89.15,89.65,88.06,88.31,9276113,2
87.95,89.7,87.06,87.67,12791745,3
88,88.5,87.06,88.3,10259807,3
88.51,90.35,88,88.79,21506963,10
88.25,88.74,85.24,85.88,15431445,14
86.85,86.89,84.92,85.12,14845004,17
85.81,85.88,83.22,84.95,15567286,10
84.04,86.49,82.81,85.6,16824274,10
84.98,89.175,84.015,88.85,15231729,10
90.4,90.9,87.6701,87.91,17360731,10
88,89.5,87.86,88.26,9891384,10
89.1,92.5,88.5,90.9,23243839,10
92.25,93.5,91.01,91.63,20364544,10
92.92,94.7,92.82,94.45,20640967,19
95.07,98,94.78,95.76,32132556,15
97,98.85,96.3,97.79,28302370,18
99.84,100.67,98.61,99.68,32127642,10
99.88,100,96.82,98.31,28655356,10
98.48,99.44,97.3,98.73,15484601,10
100.1,100.22,98.1356,98.6,18128280,10
99.67,102.8,99.05,101.8,41295786,10
100.425,106.359,99.51,106.07,67814005,10
108.48,110.14,106.48,108.67,48344248,10
109.3,111.7,107.21,111.57,33608596,15
112.93,114.77,111.75,114.56,51457292,10
117.27,119.45,115.2,119.15,75970621,1
117.25,117.55,113.69,114.54,71152418,3
115.05,119.07,114.02,118.2,53908024,0
119.3,120,114.55,114.84,62162512,1
115.06,115.39,113.35,115.1,29848790,2
115.44,115.63,113.13,114.25,22573052,9
114.33,114.38,110.41,110.81,41097971,14
109.83,110.68,107.22,108.82,46840584,17
107.81,112.44,107.26,109.82,36489321,13
113.21,113.5,110.4354,110.73,27432207,1
112,113.93,111.55,113.92,20645684,2
114.94,115.17,112.33,113.47,23484800,5
